measure,pack,id,samp_date,spectrum,meas date,YB,YH,YC,ok,habitat,sex,age,nest
1,1,BC108,5.6.13,COL_AM_POLLOS_0050,15.05.21,11.44817945,498,0.628060268,1,Urban,2,Pull,P55
1,1,BC108,5.6.13,COL_AM_POLLOS_0051,15.05.21,10.35328737,498,0.643286758,1,Urban,2,Pull,P55
1,2,BC108,5.6.13,COL_AM_POLLOS_0052,15.05.21,10.58523629,498,0.59444366,1,Urban,2,Pull,P55
1,2,BC108,5.6.13,COL_AM_POLLOS_0053,15.05.21,11.2018678,498,0.583088641,1,Urban,2,Pull,P55
1,2,BC108,5.6.13,COL_AM_POLLOS_0054,15.05.21,10.81870282,493,0.542170786,1,Urban,2,Pull,P55
1,1,BC109,5.6.13,COL_AM_POLLOS_0055,15.05.21,9.267614343,498,0.60076389,1,Urban,1,Pull,P55
1,1,BC109,5.6.13,COL_AM_POLLOS_0056,15.05.21,9.738238113,493,0.614915123,1,Urban,1,Pull,P55
1,1,BC109,5.6.13,COL_AM_POLLOS_0057,15.05.21,9.001864141,498,0.537017346,1,Urban,1,Pull,P55
1,2,BC109,5.6.13,COL_AM_POLLOS_0058,15.05.21,9.62714864,498,0.670939546,1,Urban,1,Pull,P55
1,2,BC109,5.6.13,COL_AM_POLLOS_0059,15.05.21,9.790132577,498,0.65380632,1,Urban,1,Pull,P55
1,2,BC109,5.6.13,COL_AM_POLLOS_0060,15.05.21,8.666663242,498,0.689984773,1,Urban,1,Pull,P55
1,1,BC110,5.6.13,COL_AM_POLLOS_0061,15.05.21,10.06216201,493,0.485641574,1,Urban,2,Pull,P55
1,1,BC110,5.6.13,COL_AM_POLLOS_0062,15.05.21,10.23475015,493,0.51112048,1,Urban,2,Pull,P55
1,1,BC110,5.6.13,COL_AM_POLLOS_0063,15.05.21,9.778428573,493,0.452941642,1,Urban,2,Pull,P55
1,2,BC110,5.6.13,COL_AM_POLLOS_0064,15.05.21,10.28050824,493,0.470062315,1,Urban,2,Pull,P55
1,2,BC110,5.6.13,COL_AM_POLLOS_0065,15.05.21,11.92134881,493,0.531678931,1,Urban,2,Pull,P55
