measure,pack,id,Ring,samp_date,spectrum,YB,YC,meanyb,meanyc,habitat,sex,age,nest,ok
1,2,PB190,2KS92264,28.05.14,GT_AMAR_0046,11.35765573,0.429400282,11.32790124,0.455689922,Urban,2,2K,P125,1
1,2,PB190,2KS92264,28.05.14,GT_AMAR_0047,11.60257105,0.34827389,11.32790124,0.455689922,Urban,2,2K,P125,1
1,2,PB190,2KS92264,28.05.14,GT_AMAR_0048,10.35432987,0.378919321,11.32790124,0.455689922,Urban,2,2K,P125,1
1,1,PB204,2KP22167,29.05.14,GT_AMAR_0055,10.10319238,0.562504504,10.55371394,0.540091839,Forest,2,2K,V327,1
1,1,PB204,2KP22167,29.05.14,GT_AMAR_0056,9.737209432,0.526367775,10.55371394,0.540091839,Forest,2,2K,V327,1
1,1,PB204,2KP22167,29.05.14,GT_AMAR_0057,8.676244711,0.64957244,10.55371394,0.540091839,Forest,2,2K,V327,1
1,2,PB204,2KP22167,29.05.14,GT_AMAR_0058,11.73650371,0.448683754,10.55371394,0.540091839,Forest,2,2K,V327,1
1,2,PB204,2KP22167,29.05.14,GT_AMAR_0059,11.81635273,0.473021937,10.55371394,0.540091839,Forest,2,2K,V327,1
1,2,PB204,2KP22167,29.05.14,GT_AMAR_0060,11.25278068,0.58040062,10.55371394,0.540091839,Forest,2,2K,V327,1
1,1,PB207,2KP22170,29.05.14,GT_AMAR_0061,10.90615101,0.506403171,10.56905284,0.596759615,Forest,2,2K,V335,1
1,1,PB207,2KP22170,29.05.14,GT_AMAR_0062,9.909592679,0.524812646,10.56905284,0.596759615,Forest,2,2K,V335,1
1,1,PB207,2KP22170,29.05.14,GT_AMAR_0063,10.01271723,0.572230289,10.56905284,0.596759615,Forest,2,2K,V335,1
1,2,PB207,2KP22170,29.05.14,GT_AMAR_0064,10.64594041,0.647540268,10.56905284,0.596759615,Forest,2,2K,V335,1
1,2,PB207,2KP22170,29.05.14,GT_AMAR_0065,10.84067639,0.742439293,10.56905284,0.596759615,Forest,2,2K,V335,1
1,2,PB207,2KP22170,29.05.14,GT_AMAR_0066,11.09923933,0.587132024,10.56905284,0.596759615,Forest,2,2K,V335,1
1,1,PB210,2KP22172,29.05.14,GT_AMAR_0067,8.805271008,0.70671866,8.855597319,0.649796323,Forest,1,2K,V395,1
1,1,PB210,2KP22172,29.05.14,GT_AMAR_0068,9.543183955,0.62681888,8.855597319,0.649796323,Forest,1,2K,V395,1
1,1,PB210,2KP22172,29.05.14,GT_AMAR_0069,9.078043135,0.559832531,8.855597319,0.649796323,Forest,1,2K,V395,1
1,2,PB210,2KP22172,29.05.14,GT_AMAR_0070,8.837450376,0.621383635,8.855597319,0.649796323,Forest,1,2K,V395,1
1,2,PB210,2KP22172,29.05.14,GT_AMAR_0071,9.148495727,0.599923739,8.855597319,0.649796323,Forest,1,2K,V395,1
1,2,PB210,2KP22172,29.05.14,GT_AMAR_0072,7.721139715,0.784100495,8.855597319,0.649796323,Forest,1,2K,V395,1
1,1,PB211,2KP22173,29.05.14,GT_AMAR_0073,11.93718821,0.62562787,12.07247062,0.6709443,Forest,2,3K+,V395,1
1,1,PB211,2KP22173,29.05.14,GT_AMAR_0074,10.663079,0.68029018,12.07247062,0.6709443,Forest,2,3K+,V395,1
1,1,PB211,2KP22173,29.05.14,GT_AMAR_0075,11.69254513,0.687625395,12.07247062,0.6709443,Forest,2,3K+,V395,1
1,2,PB211,2KP22173,29.05.14,GT_AMAR_0076,13.17199019,0.602158116,12.07247062,0.6709443,Forest,2,3K+,V395,1
1,2,PB211,2KP22173,29.05.14,GT_AMAR_0077,10.70224662,0.672701565,12.07247062,0.6709443,Forest,2,3K+,V395,1
1,2,PB211,2KP22173,29.05.14,GT_AMAR_0078,14.26777455,0.757262673,12.07247062,0.6709443,Forest,2,3K+,V395,1
1,1,PB212,2KP22174,29.05.14,GT_AMAR_0079,13.02490677,0.497186167,13.10261249,0.609800905,Forest,2,2K,V399,1
1,1,PB212,2KP22174,29.05.14,GT_AMAR_0080,14.51186273,0.591234188,13.10261249,0.609800905,Forest,2,2K,V399,1
1,1,PB212,2KP22174,29.05.14,GT_AMAR_0081,12.74972724,0.613169802,13.10261249,0.609800905,Forest,2,2K,V399,1
1,2,PB212,2KP22174,29.05.14,GT_AMAR_0082,13.24112434,0.607154212,13.10261249,0.609800905,Forest,2,2K,V399,1
1,2,PB212,2KP22174,29.05.14,GT_AMAR_0083,12.64502349,0.640623129,13.10261249,0.609800905,Forest,2,2K,V399,1
1,2,PB212,2KP22174,29.05.14,GT_AMAR_0084,12.44303038,0.709437931,13.10261249,0.609800905,Forest,2,2K,V399,1
1,1,PB280,2KR97319,31.05.14,GT_AMAR_0085,11.16030729,0.813672842,11.27773631,0.736516952,Forest,1,3K+,V124,1
1,1,PB280,2KR97319,31.05.14,GT_AMAR_0086,11.0744774,0.710228845,11.27773631,0.736516952,Forest,1,3K+,V124,1
1,1,PB280,2KR97319,31.05.14,GT_AMAR_0087,12.72011544,0.76037705,11.27773631,0.736516952,Forest,1,3K+,V124,1
1,2,PB280,2KR97319,31.05.14,GT_AMAR_0088,12.50608267,0.706720602,11.27773631,0.736516952,Forest,1,3K+,V124,1
1,2,PB280,2KR97319,31.05.14,GT_AMAR_0089,9.819006304,0.733343478,11.27773631,0.736516952,Forest,1,3K+,V124,1
1,2,PB280,2KR97319,31.05.14,GT_AMAR_0090,10.38642878,0.694758892,11.27773631,0.736516952,Forest,1,3K+,V124,1
1,1,PB295,2KR97334,31.05.14,GT_AMAR_0091,10.67268282,0.642856807,11.26930405,0.669092339,Forest,1,3K+,V177,1
1,1,PB295,2KR97334,31.05.14,GT_AMAR_0092,10.30837246,0.679635675,11.26930405,0.669092339,Forest,1,3K+,V177,1
1,1,PB295,2KR97334,31.05.14,GT_AMAR_0093,11.5699076,0.642615416,11.26930405,0.669092339,Forest,1,3K+,V177,1
1,2,PB295,2KR97334,31.05.14,GT_AMAR_0094,10.79638355,0.744942986,11.26930405,0.669092339,Forest,1,3K+,V177,1
1,2,PB295,2KR97334,31.05.14,GT_AMAR_0095,12.26226719,0.650654169,11.26930405,0.669092339,Forest,1,3K+,V177,1
1,2,PB295,2KR97334,31.05.14,GT_AMAR_0096,12.0062107,0.653848979,11.26930405,0.669092339,Forest,1,3K+,V177,1
1,1,PB301,2KP22258,01.06.14,GT_AMAR_0097,13.74057022,0.794862535,13.44262209,0.705309371,Urban,1,3K+,S90,1
1,1,PB301,2KP22258,01.06.14,GT_AMAR_0098,13.27140856,0.717649225,13.44262209,0.705309371,Urban,1,3K+,S90,1
1,1,PB301,2KP22258,01.06.14,GT_AMAR_0099,12.94614675,0.752018513,13.44262209,0.705309371,Urban,1,3K+,S90,1
1,2,PB301,2KP22258,01.06.14,GT_AMAR_0100,13.39967903,0.651287491,13.44262209,0.705309371,Urban,1,3K+,S90,1
1,2,PB301,2KP22258,01.06.14,GT_AMAR_0101,13.72215204,0.687358743,13.44262209,0.705309371,Urban,1,3K+,S90,1
1,2,PB301,2KP22258,01.06.14,GT_AMAR_0102,13.57577597,0.62867972,13.44262209,0.705309371,Urban,1,3K+,S90,1
1,1,PB303,2KS91261,01.06.14,GT_AMAR_0103,12.67086144,0.523014712,12.69301737,0.479176028,Urban,1,2K,S124,1
1,1,PB303,2KS91261,01.06.14,GT_AMAR_0104,12.96706144,0.605444705,12.69301737,0.479176028,Urban,1,2K,S124,1
1,1,PB303,2KS91261,01.06.14,GT_AMAR_0105,11.94143087,0.542594928,12.69301737,0.479176028,Urban,1,2K,S124,1
1,2,PB303,2KS91261,01.06.14,GT_AMAR_0106,12.58145809,0.453349126,12.69301737,0.479176028,Urban,1,2K,S124,1
1,2,PB303,2KS91261,01.06.14,GT_AMAR_0107,12.10335557,0.357954777,12.69301737,0.479176028,Urban,1,2K,S124,1
1,2,PB303,2KS91261,01.06.14,GT_AMAR_0108,13.89393683,0.39269792,12.69301737,0.479176028,Urban,1,2K,S124,1
1,1,PB304,2KS92392,01.06.14,GT_AMAR_0109,7.313957171,0.679662863,7.655668759,0.640864819,Urban,2,2K,S124,1
1,1,PB304,2KS92392,01.06.14,GT_AMAR_0110,6.893794014,0.614114573,7.655668759,0.640864819,Urban,2,2K,S124,1
1,1,PB304,2KS92392,01.06.14,GT_AMAR_0111,6.747396918,0.70350013,7.655668759,0.640864819,Urban,2,2K,S124,1
