ID,Date,nest,habitat,fledging_survival,sex,age,age2,cross_fostered,birthnest,rearnest,brightness,chroma,ok
2KR97107,05/06/2013,V153,Forest,1,2,Pull,Pull,1,P55,V153,11.0291616,0.457089786,1
2KR97108,05/06/2013,V153,Forest,1,2,Pull,Pull,0,V153,V153,9.242141048,0.518980857,1
2KR97716,07/06/2013,V148,Forest,1,2,Pull,Pull,0,V148,V148,12.15248819,0.556626902,1
2KR97717,07/06/2013,V148,Forest,1,1,Pull,Pull,1,S124,V148,11.85678251,0.614312027,1
2KR97718,07/06/2013,V148,Forest,1,1,Pull,Pull,1,S124,V148,9.680612616,0.596433006,1
2KR97720,07/06/2013,V148,Forest,1,1,Pull,Pull,0,V148,V148,11.264376,0.553134409,1
2KR97781,11/06/2013,V374,Forest,1,1,Pull,Pull,1,P138,V374,8.871731184,0.42856779,1
2KR97782,11/06/2013,V374,Forest,1,2,Pull,Pull,0,V374,V374,10.45110619,0.347007091,1
2KR97784,11/06/2013,V374,Forest,1,1,Pull,Pull,0,V374,V374,11.04290974,0.323102788,1
2KR97786,11/06/2013,V374,Forest,1,2,Pull,Pull,1,P138,V374,8.533965159,0.338374372,1
2KR97795,11/06/2013,V135,Forest,1,2,Pull,Pull,1,P31,V135,8.108314416,0.34647469,1
2KR97796,11/06/2013,V135,Forest,1,2,Pull,Pull,0,V135,V135,9.566884648,0.348164235,1
2KR97797,11/06/2013,V135,Forest,1,1,Pull,Pull,1,P31,V135,8.361735333,0.374383882,1
2KR97798,11/06/2013,V135,Forest,1,2,Pull,Pull,0,V135,V135,8.777281529,0.420775177,1
2KS92230,12/06/2013,P48,Urban,1,1,Pull,Pull,0,P48,P48,8.350743948,0.42613774,1
2KS92231,12/06/2013,P48,Urban,1,2,Pull,Pull,1,VP140,P48,10.20968725,0.393781951,1
2KS92228,12/06/2013,P9,Urban,1,1,Pull,Pull,0,P9,P9,9.168944054,0.401447291,1
2KS92229,12/06/2013,P9,Urban,1,1,Pull,Pull,1,V219,P9,9.481048775,0.34508393,1
2KS92246,12/06/2013,P148,Urban,0,1,Pull,Pull,0,P148,P148,7.896481904,0.466665933,1
2KS92245,12/06/2013,P148,Urban,1,1,Pull,Pull,1,V33,P148,7.347468388,0.442829892,1
2KS92247,12/06/2013,P148,Urban,1,2,Pull,Pull,1,V33,P148,9.073328674,0.468522439,1
2KS92248,12/06/2013,P148,Urban,1,2,Pull,Pull,0,P148,P148,9.724435917,0.421948531,1
2KS92232,12/06/2013,P23,Urban,1,2,Pull,Pull,0,P23,P23,10.28755276,0.493453677,1
2KS92233,12/06/2013,P23,Urban,1,1,Pull,Pull,0,P23,P23,10.17549732,0.44644317,1
2KS92234,12/06/2013,P23,Urban,1,1,Pull,Pull,1,V15,P23,11.40534826,0.439220217,1
2KS92236,12/06/2013,P23,Urban,1,2,Pull,Pull,1,V15,P23,8.459882781,0.501793876,1
2KS92251,13/06/2013,S8,Urban,0,1,Pull,Pull,0,S8,S8,8.470922808,0.414582533,1
2KS92252,13/06/2013,S8,Urban,0,2,Pull,Pull,1,V238,S8,10.08185318,0.381457113,1
2KR97617,13/06/2013,V238,Forest,1,1,Pull,Pull,0,V238,V238,9.359661374,0.414687448,1
2KR97618,13/06/2013,V238,Forest,1,2,Pull,Pull,1,S8,V238,10.06441509,0.471549979,0
2KR97619,13/06/2013,V238,Forest,1,2,Pull,Pull,1,S8,V238,10.06441509,0.471549979,1
2KR97620,13/06/2013,V238,Forest,1,1,Pull,Pull,1,S8,V238,10.21861003,0.444596137,1
2KR97621,13/06/2013,V238,Forest,1,1,Pull,Pull,0,V238,V238,9.798985202,0.456181097,1
2KR97109,12/06/2013,V303,Forest,1,2,Pull,Pull,1,P148,V33,12.50806864,0.464811769,1
2KR97110,12/06/2013,V303,Forest,1,2,Pull,Pull,0,V33,V33,10.48397704,0.462419602,1
2KR97111,12/06/2013,V303,Forest,1,1,Pull,Pull,0,V33,V33,9.736869422,0.415763976,1
2KR97114,12/06/2013,V303,Forest,1,1,Pull,Pull,1,P148,V33,10.01633671,0.451690892,1
2KR97124,12/06/2013,V140,Forest,1,1,Pull,Pull,0,V14,V14,10.69178251,0.322476684,1
2KR97125,12/06/2013,V140,Forest,1,2,Pull,Pull,0,V14,V140,11.12455951,0.364338291,1
2KR97127,12/06/2013,V140,Forest,1,1,Pull,Pull,1,P48,V140,12.34722719,0.358059155,1
2KR97128,12/06/2013,V140,Forest,1,2,Pull,Pull,1,P48,V140,10.84931567,0.363376978,1
2KR97147,12/06/2013,V219,Forest,1,2,Pull,Pull,0,V219,V219,11.28610022,0.430587926,1
2KR97148,12/06/2013,V219,Forest,1,2,Pull,Pull,1,P9,V219,10.47805501,0.400960777,1
2KR97149,12/06/2013,V219,Forest,1,1,Pull,Pull,0,V219,V219,11.69266753,0.385451004,1
2KR97150,12/06/2013,V219,Forest,1,1,Pull,Pull,1,P9,V219,12.4092535,0.359607075,1
2KR97153,12/06/2013,V15,Forest,1,1,Pull,Pull,0,V15,V15,11.26831111,0.376831621,1
2KR97154,12/06/2013,V15,Forest,1,1,Pull,Pull,1,P23,V15,12.00275577,0.277369369,1
2KR97155,12/06/2013,V15,Forest,1,2,Pull,Pull,0,V15,V15,9.910830226,0.392636341,1
2KR97159,12/06/2013,V15,Forest,1,1,Pull,Pull,1,P23,V15,10.25251625,0.36235845,1
2KR97517,14/06/2013,V381,Forest,1,1,Pull,Pull,1,P67,V381,12.53995003,0.364004729,1
2KR97520,14/06/2013,V381,Forest,1,2,Pull,Pull,1,P67,V381,9.198013554,0.393511117,1
2KR97521,14/06/2013,V381,Forest,1,2,Pull,Pull,0,V381,V381,10.51360355,0.344936678,1
2KR97524,14/06/2013,V381,Forest,1,1,Pull,Pull,0,V381,V381,8.609129268,0.419376534,1
2KR97645,20/05/2014,V46,Forest,1,2,2K,2K,0,,,15.0855242,0.508140001,1
2KR97235,20/05/2014,V148,Forest,1,1,3K+,2K,0,,,10.99909841,0.5669964,1
2KS91889,24/05/2014,P134,Urban,1,2,2K,2K,0,,,13.30086478,0.471586892,1
2KS91829,15/05/2014,R5,Urban,1,2,2K,2K,0,,,11.23548798,0.323825491,1
2KS91898,25/05/2014,RS17,Urban,1,2,3K+,2K,0,,,13.48084912,0.555818476,1
2KS92300,25/05/2014,R27,Urban,1,1,2K,2K,0,,,8.189554168,0.300593663,1
2KS91258,25/05/2014,K28,Urban,1,1,2K,2K,0,,,13.19322921,0.492242769,1
