measure,pack,id,samp_date,spectrum,meas date,feather_num,YB,YH,YC,id2,rep,ok,habitat,area,sex,age
1,1,PB190,28.05.14,GT_AMAR_0045,27.03.21,4,10.23519569,493,0.566148811,PB190_1,1,1,Urban,Malmo,2,2K
1,2,PB190,28.05.14,GT_AMAR_0046,27.03.21,4,11.35765573,493,0.429400282,PB190_1,1,1,Urban,Malmo,2,2K
1,2,PB190,28.05.14,GT_AMAR_0047,27.03.21,4,11.60257105,493,0.34827389,PB190_1,1,1,Urban,Malmo,2,2K
1,2,PB190,28.05.14,GT_AMAR_0048,27.03.21,4,10.35432987,493,0.378919321,PB190_1,1,1,Urban,Malmo,2,2K
1,1,PB204,29.05.14,GT_AMAR_0055,27.03.21,4,10.10319238,498,0.562504504,PB204_1,1,1,Forest,Malmo,2,2K
1,1,PB204,29.05.14,GT_AMAR_0056,27.03.21,4,9.737209432,493,0.526367775,PB204_1,1,1,Forest,Malmo,2,2K
1,1,PB204,29.05.14,GT_AMAR_0057,27.03.21,4,8.676244711,493,0.64957244,PB204_1,1,1,Forest,Malmo,2,2K
1,2,PB204,29.05.14,GT_AMAR_0058,27.03.21,4,11.73650371,493,0.448683754,PB204_1,1,1,Forest,Malmo,2,2K
1,2,PB204,29.05.14,GT_AMAR_0059,27.03.21,4,11.81635273,493,0.473021937,PB204_1,1,1,Forest,Malmo,2,2K
1,2,PB204,29.05.14,GT_AMAR_0060,27.03.21,4,11.25278068,493,0.58040062,PB204_1,1,1,Forest,Malmo,2,2K
1,1,PB207,29.05.14,GT_AMAR_0061,27.03.21,4,10.90615101,493,0.506403171,PB207_1,1,1,Forest,Malmo,2,2K
1,1,PB207,29.05.14,GT_AMAR_0062,27.03.21,4,9.909592679,498,0.524812646,PB207_1,1,1,Forest,Malmo,2,2K
1,1,PB207,29.05.14,GT_AMAR_0063,27.03.21,4,10.01271723,498,0.572230289,PB207_1,1,1,Forest,Malmo,2,2K
1,2,PB207,29.05.14,GT_AMAR_0064,27.03.21,4,10.64594041,493,0.647540268,PB207_1,1,1,Forest,Malmo,2,2K
1,2,PB207,29.05.14,GT_AMAR_0065,27.03.21,4,10.84067639,498,0.742439293,PB207_1,1,1,Forest,Malmo,2,2K
1,2,PB207,29.05.14,GT_AMAR_0066,27.03.21,4,11.09923933,498,0.587132024,PB207_1,1,1,Forest,Malmo,2,2K
1,1,PB210,29.05.14,GT_AMAR_0067,27.03.21,4,8.805271008,498,0.70671866,PB210_1,1,1,Forest,Malmo,1,2K
1,1,PB210,29.05.14,GT_AMAR_0068,27.03.21,4,9.543183955,498,0.62681888,PB210_1,1,1,Forest,Malmo,1,2K
1,1,PB210,29.05.14,GT_AMAR_0069,27.03.21,4,9.078043135,498,0.559832531,PB210_1,1,1,Forest,Malmo,1,2K
1,2,PB210,29.05.14,GT_AMAR_0070,27.03.21,4,8.837450376,498,0.621383635,PB210_1,1,1,Forest,Malmo,1,2K
1,2,PB210,29.05.14,GT_AMAR_0071,27.03.21,4,9.148495727,498,0.599923739,PB210_1,1,1,Forest,Malmo,1,2K
1,2,PB210,29.05.14,GT_AMAR_0072,27.03.21,4,7.721139715,498,0.784100495,PB210_1,1,1,Forest,Malmo,1,2K
1,1,PB211,29.05.14,GT_AMAR_0073,27.03.21,4,11.93718821,498,0.62562787,PB211_1,1,1,Forest,Malmo,2,3K+
1,1,PB211,29.05.14,GT_AMAR_0074,27.03.21,4,10.663079,498,0.68029018,PB211_1,1,1,Forest,Malmo,2,3K+
1,1,PB211,29.05.14,GT_AMAR_0075,27.03.21,4,11.69254513,498,0.687625395,PB211_1,1,1,Forest,Malmo,2,3K+
1,2,PB211,29.05.14,GT_AMAR_0076,27.03.21,4,13.17199019,498,0.602158116,PB211_1,1,1,Forest,Malmo,2,3K+
1,2,PB211,29.05.14,GT_AMAR_0077,27.03.21,4,10.70224662,498,0.672701565,PB211_1,1,1,Forest,Malmo,2,3K+
1,2,PB211,29.05.14,GT_AMAR_0078,27.03.21,4,14.26777455,499,0.757262673,PB211_1,1,1,Forest,Malmo,2,3K+
1,1,PB212,29.05.14,GT_AMAR_0079,27.03.21,4,13.02490677,493,0.497186167,PB212_1,1,1,Forest,Malmo,2,2K
1,1,PB212,29.05.14,GT_AMAR_0080,27.03.21,4,14.51186273,499,0.591234188,PB212_1,1,1,Forest,Malmo,2,2K
1,1,PB212,29.05.14,GT_AMAR_0081,27.03.21,4,12.74972724,499,0.613169802,PB212_1,1,1,Forest,Malmo,2,2K
1,2,PB212,29.05.14,GT_AMAR_0082,27.03.21,4,13.24112434,498,0.607154212,PB212_1,1,1,Forest,Malmo,2,2K
1,2,PB212,29.05.14,GT_AMAR_0083,27.03.21,4,12.64502349,498,0.640623129,PB212_1,1,1,Forest,Malmo,2,2K
1,2,PB212,29.05.14,GT_AMAR_0084,27.03.21,4,12.44303038,498,0.709437931,PB212_1,1,1,Forest,Malmo,2,2K
1,1,PB280,31.05.14,GT_AMAR_0085,27.03.21,4,11.16030729,498,0.813672842,PB280_1,1,1,Forest,Malmo,1,3K+
1,1,PB280,31.05.14,GT_AMAR_0086,27.03.21,4,11.0744774,498,0.710228845,PB280_1,1,1,Forest,Malmo,1,3K+
1,1,PB280,31.05.14,GT_AMAR_0087,27.03.21,4,12.72011544,498,0.76037705,PB280_1,1,1,Forest,Malmo,1,3K+
1,2,PB280,31.05.14,GT_AMAR_0088,27.03.21,4,12.50608267,498,0.706720602,PB280_1,1,1,Forest,Malmo,1,3K+
1,2,PB280,31.05.14,GT_AMAR_0089,27.03.21,4,9.819006304,498,0.733343478,PB280_1,1,1,Forest,Malmo,1,3K+
1,2,PB280,31.05.14,GT_AMAR_0090,27.03.21,4,10.38642878,498,0.694758892,PB280_1,1,1,Forest,Malmo,1,3K+
1,1,PB295,31.05.14,GT_AMAR_0091,27.03.21,4,10.67268282,493,0.642856807,PB295_1,1,1,Forest,Malmo,1,3K+
1,1,PB295,31.05.14,GT_AMAR_0092,27.03.21,4,10.30837246,493,0.679635675,PB295_1,1,1,Forest,Malmo,1,3K+
1,1,PB295,31.05.14,GT_AMAR_0093,27.03.21,4,11.5699076,498,0.642615416,PB295_1,1,1,Forest,Malmo,1,3K+
1,2,PB295,31.05.14,GT_AMAR_0094,27.03.21,4,10.79638355,498,0.744942986,PB295_1,1,1,Forest,Malmo,1,3K+
1,2,PB295,31.05.14,GT_AMAR_0095,27.03.21,4,12.26226719,498,0.650654169,PB295_1,1,1,Forest,Malmo,1,3K+
1,2,PB295,31.05.14,GT_AMAR_0096,27.03.21,4,12.0062107,498,0.653848979,PB295_1,1,1,Forest,Malmo,1,3K+
1,1,PB301,01.06.14,GT_AMAR_0097,27.03.21,4,13.74057022,498,0.794862535,PB301_1,1,1,Urban,Malmo,1,3K+
1,1,PB301,01.06.14,GT_AMAR_0098,27.03.21,4,13.27140856,498,0.717649225,PB301_1,1,1,Urban,Malmo,1,3K+
1,1,PB301,01.06.14,GT_AMAR_0099,27.03.21,4,12.94614675,498,0.752018513,PB301_1,1,1,Urban,Malmo,1,3K+
1,2,PB301,01.06.14,GT_AMAR_0100,27.03.21,4,13.39967903,498,0.651287491,PB301_1,1,1,Urban,Malmo,1,3K+
1,2,PB301,01.06.14,GT_AMAR_0101,27.03.21,4,13.72215204,498,0.687358743,PB301_1,1,1,Urban,Malmo,1,3K+
1,2,PB301,01.06.14,GT_AMAR_0102,27.03.21,4,13.57577597,498,0.62867972,PB301_1,1,1,Urban,Malmo,1,3K+
1,1,PB303,01.06.14,GT_AMAR_0103,27.03.21,4,12.67086144,498,0.523014712,PB303_1,1,1,Urban,Malmo,1,2K
1,1,PB303,01.06.14,GT_AMAR_0104,27.03.21,4,12.96706144,498,0.605444705,PB303_1,1,1,Urban,Malmo,1,2K
1,1,PB303,01.06.14,GT_AMAR_0105,27.03.21,4,11.94143087,498,0.542594928,PB303_1,1,1,Urban,Malmo,1,2K
1,2,PB303,01.06.14,GT_AMAR_0106,27.03.21,4,12.58145809,499,0.453349126,PB303_1,1,1,Urban,Malmo,1,2K
1,2,PB303,01.06.14,GT_AMAR_0107,27.03.21,4,12.10335557,498,0.357954777,PB303_1,1,1,Urban,Malmo,1,2K
1,2,PB303,01.06.14,GT_AMAR_0108,27.03.21,4,13.89393683,498,0.39269792,PB303_1,1,1,Urban,Malmo,1,2K
1,1,PB304,01.06.14,GT_AMAR_0109,27.03.21,4,7.313957171,499,0.679662863,PB304_1,1,1,Urban,Malmo,2,2K
1,1,PB304,01.06.14,GT_AMAR_0110,27.03.21,4,6.893794014,499,0.614114573,PB304_1,1,1,Urban,Malmo,2,2K
1,1,PB304,01.06.14,GT_AMAR_0111,27.03.21,4,6.747396918,498,0.70350013,PB304_1,1,1,Urban,Malmo,2,2K
1,2,PB304,01.06.14,GT_AMAR_0112,27.03.21,4,7.187593493,499,0.654000531,PB304_1,1,1,Urban,Malmo,2,2K
1,2,PB304,01.06.14,GT_AMAR_0113,27.03.21,4,8.946596949,498,0.603356634,PB304_1,1,1,Urban,Malmo,2,2K
1,2,PB304,01.06.14,GT_AMAR_0114,27.03.21,4,8.844674005,498,0.59055418,PB304_1,1,1,Urban,Malmo,2,2K
1,1,PB306,01.06.14,GT_AMAR_0115,27.03.21,4,13.71402143,498,0.660393898,PB306_1,1,1,Urban,Malmo,1,3K+
1,1,PB306,01.06.14,GT_AMAR_0116,27.03.21,4,14.84911347,498,0.688750621,PB306_1,1,1,Urban,Malmo,1,3K+
1,1,PB306,01.06.14,GT_AMAR_0117,27.03.21,4,13.91888857,498,0.679301958,PB306_1,1,1,Urban,Malmo,1,3K+
1,2,PB306,01.06.14,GT_AMAR_0118,27.03.21,4,14.19114686,498,0.741602683,PB306_1,1,1,Urban,Malmo,1,3K+
1,2,PB306,01.06.14,GT_AMAR_0119,27.03.21,4,12.99814889,498,0.740025712,PB306_1,1,1,Urban,Malmo,1,3K+
1,2,PB306,01.06.14,GT_AMAR_0120,27.03.21,4,13.9491837,498,0.746500739,PB306_1,1,1,Urban,Malmo,1,3K+
2,1,PB204,29.05.14,GT_AMAR_0121,28.03.21,4,13.14503017,498,0.570990935,PB204_2,1,1,Forest,Malmo,2,2K
2,1,PB204,29.05.14,GT_AMAR_0122,28.03.21,4,8.461962538,498,0.482436094,PB204_2,1,1,Forest,Malmo,2,2K
2,1,PB204,29.05.14,GT_AMAR_0123,28.03.21,4,12.51176488,498,0.508017143,PB204_2,1,1,Forest,Malmo,2,2K
2,2,PB204,29.05.14,GT_AMAR_0124,28.03.21,4,12.08637492,498,0.461345062,PB204_2,1,1,Forest,Malmo,2,2K
2,2,PB204,29.05.14,GT_AMAR_0125,28.03.21,4,11.79411132,498,0.461132356,PB204_2,1,1,Forest,Malmo,2,2K
