id,samp_date,spectrum,YC,YB,birthnest,rearnest,habitat_origin,habitat_rearing,cross_fostered,sex
BC109,5.6.13,COL_AM_POLLOS_0058,0.670939546,9.62714864,V153,P55,Forest,Urban,1,1
BC109,5.6.13,COL_AM_POLLOS_0059,0.65380632,9.790132577,V153,P55,Forest,Urban,1,1
BC109,5.6.13,COL_AM_POLLOS_0060,0.689984773,8.666663242,V153,P55,Forest,Urban,1,1
BC110,5.6.13,COL_AM_POLLOS_0061,0.485641574,10.06216201,P55,P55,Urban,Urban,0,2
BC110,5.6.13,COL_AM_POLLOS_0062,0.51112048,10.23475015,P55,P55,Urban,Urban,0,2
BC110,5.6.13,COL_AM_POLLOS_0063,0.452941642,9.778428573,P55,P55,Urban,Urban,0,2
BC110,5.6.13,COL_AM_POLLOS_0064,0.470062315,10.28050824,P55,P55,Urban,Urban,0,2
BC110,5.6.13,COL_AM_POLLOS_0065,0.531678931,11.92134881,P55,P55,Urban,Urban,0,2
BC110,5.6.13,COL_AM_POLLOS_0066,0.502712623,10.9093143,P55,P55,Urban,Urban,0,2
BC124,5.6.13,COL_AM_POLLOS_0067,0.511539497,9.319792742,V153,V153,Forest,Forest,0,2
BC124,5.6.13,COL_AM_POLLOS_0068,0.530425501,11.40171723,V153,V153,Forest,Forest,0,2
BC124,5.6.13,COL_AM_POLLOS_0069,0.680660766,8.883306042,V153,V153,Forest,Forest,0,2
BC124,5.6.13,COL_AM_POLLOS_0070,0.657627557,8.633349895,V153,V153,Forest,Forest,0,2
BC124,5.6.13,COL_AM_POLLOS_0071,0.535721053,9.551591771,V153,V153,Forest,Forest,0,2
BC124,5.6.13,COL_AM_POLLOS_0072,0.544339133,10.73306312,V153,V153,Forest,Forest,0,2
BC125,5.6.13,COL_AM_POLLOS_0073,0.503858094,8.375456301,P55,V153,Urban,Forest,1,2
BC125,5.6.13,COL_AM_POLLOS_0074,0.522584453,8.151755788,P55,V153,Urban,Forest,1,2
BC125,5.6.13,COL_AM_POLLOS_0075,0.505287572,9.291909227,P55,V153,Urban,Forest,1,2
BC125,5.6.13,COL_AM_POLLOS_0076,0.451130607,8.300673664,P55,V153,Urban,Forest,1,2
BC125,5.6.13,COL_AM_POLLOS_0077,0.54524767,7.695228389,P55,V153,Urban,Forest,1,2
BC125,5.6.13,COL_AM_POLLOS_0078,0.541057577,7.480137785,P55,V153,Urban,Forest,1,2
BA73,11.6.13,COL_AM_POLLOS_0079,0.536013859,8.136340769,P31,P31,Urban,Urban,0,1
BA73,11.6.13,COL_AM_POLLOS_0080,0.433444109,9.196419031,P31,P31,Urban,Urban,0,1
BA73,11.6.13,COL_AM_POLLOS_0081,0.506431596,8.618723125,P31,P31,Urban,Urban,0,1
BA73,11.6.13,COL_AM_POLLOS_0082,0.48639843,8.393257644,P31,P31,Urban,Urban,0,1
BA73,11.6.13,COL_AM_POLLOS_0083,0.46594511,8.558205028,P31,P31,Urban,Urban,0,1
BA73,11.6.13,COL_AM_POLLOS_0084,0.438217341,8.712411269,P31,P31,Urban,Urban,0,1
BA77,11.6.13,COL_AM_POLLOS_0085,0.532333062,9.035312247,P138,P138,Urban,Urban,0,2
BA77,11.6.13,COL_AM_POLLOS_0086,0.495681405,9.366187852,P138,P138,Urban,Urban,0,2
BA77,11.6.13,COL_AM_POLLOS_0087,0.477790924,9.623017964,P138,P138,Urban,Urban,0,2
BA77,11.6.13,COL_AM_POLLOS_0088,0.539211918,8.082253206,P138,P138,Urban,Urban,0,2
BA77,11.6.13,COL_AM_POLLOS_0089,0.504930637,9.185526008,P138,P138,Urban,Urban,0,2
BA77,11.6.13,COL_AM_POLLOS_0090,0.446270026,9.849925202,P138,P138,Urban,Urban,0,2
BA80,11.6.13,COL_AM_POLLOS_0091,0.507787731,8.994773526,V374,P138,Forest,Urban,1,2
BA80,11.6.13,COL_AM_POLLOS_0092,0.536701033,10.23742119,V374,P138,Forest,Urban,1,2
BA80,11.6.13,COL_AM_POLLOS_0093,0.484311729,9.745258498,V374,P138,Forest,Urban,1,2
BA80,11.6.13,COL_AM_POLLOS_0094,0.586580691,9.088117144,V374,P138,Forest,Urban,1,2
BA80,11.6.13,COL_AM_POLLOS_0095,0.431204571,10.8260902,V374,P138,Forest,Urban,1,2
BA80,11.6.13,COL_AM_POLLOS_0096,0.453010803,10.4599726,V374,P138,Forest,Urban,1,2
BA81,11.6.13,COL_AM_POLLOS_0097,0.465493401,9.720777486,P138,P138,Urban,Urban,0,2
BA81,11.6.13,COL_AM_POLLOS_0098,0.490270429,12.82051608,P138,P138,Urban,Urban,0,2
BA81,11.6.13,COL_AM_POLLOS_0099,0.390548265,10.54604872,P138,P138,Urban,Urban,0,2
BA81,11.6.13,COL_AM_POLLOS_0100,0.495979747,12.11342291,P138,P138,Urban,Urban,0,2
BA81,11.6.13,COL_AM_POLLOS_0101,0.496937038,11.87883624,P138,P138,Urban,Urban,0,2
BA81,11.6.13,COL_AM_POLLOS_0102,0.510491285,11.50939691,P138,P138,Urban,Urban,0,2
BA82,11.6.13,COL_AM_POLLOS_0103,0.468861333,8.305867388,V374,P138,Forest,Urban,1,2
BA82,11.6.13,COL_AM_POLLOS_0104,0.504398506,9.55268298,V374,P138,Forest,Urban,1,2
BA82,11.6.13,COL_AM_POLLOS_0105,0.476092379,9.969096996,V374,P138,Forest,Urban,1,2
BA82,11.6.13,COL_AM_POLLOS_0106,0.426664705,10.78234203,V374,P138,Forest,Urban,1,2
BA82,11.6.13,COL_AM_POLLOS_0107,0.482277573,9.882183295,V374,P138,Forest,Urban,1,2
BA82,11.6.13,COL_AM_POLLOS_0108,0.46548575,8.880963581,V374,P138,Forest,Urban,1,2
BA90,14.6.13,COL_AM_POLLOS_0109,0.351504412,10.49692031,P67,P67,Urban,Urban,0,1
BA90,14.6.13,COL_AM_POLLOS_0110,0.29860247,9.770222391,P67,P67,Urban,Urban,0,1
BA90,14.6.13,COL_AM_POLLOS_0111,0.321937899,10.01334834,P67,P67,Urban,Urban,0,1
BA90,14.6.13,COL_AM_POLLOS_0112,0.330367501,9.900000453,P67,P67,Urban,Urban,0,1
BA90,14.6.13,COL_AM_POLLOS_0113,0.256200351,11.6830492,P67,P67,Urban,Urban,0,1
BA90,14.6.13,COL_AM_POLLOS_0114,0.318372775,10.30573131,P67,P67,Urban,Urban,0,1
BA91,14.6.13,COL_AM_POLLOS_0115,0.377602389,11.21183964,V381,P67,Forest,Urban,1,2
BA91,14.6.13,COL_AM_POLLOS_0116,0.418736397,11.58148207,V381,P67,Forest,Urban,1,2
BA91,14.6.13,COL_AM_POLLOS_0117,0.406720369,11.76855266,V381,P67,Forest,Urban,1,2
BA91,14.6.13,COL_AM_POLLOS_0118,0.392211053,11.51739327,V381,P67,Forest,Urban,1,2
BA91,14.6.13,COL_AM_POLLOS_0119,0.422519287,11.16431179,V381,P67,Forest,Urban,1,2
BA91,14.6.13,COL_AM_POLLOS_0120,0.456387467,11.5206049,V381,P67,Forest,Urban,1,2
BC128,5.6.13,COL_AM_POLLOS_0121,0.449223183,10.92907136,P55,V153,Urban,Forest,1,2
BC128,5.6.13,COL_AM_POLLOS_0122,0.427790069,10.55448703,P55,V153,Urban,Forest,1,2
