id,samp_date,spectrum,YC,YB,habitat,area,sex,age
2A069796,07.10.14,GT_AMAR_1312,0.36130572,9.961974751,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1313,0.421217629,10.59020674,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1314,0.397734301,10.56248599,Urban,Madrid,2,2yr+
2A211149,27.04.14,GT_AMAR_1195,0.621686129,12.49601699,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1196,0.664119207,11.87538347,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1197,0.558802088,12.8725045,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1198,0.737467908,12.38858497,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1199,0.745553287,12.87834421,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1200,0.690934075,12.30570572,Forest,Madrid,1,2yr+
2A211150,27.04.14,GT_AMAR_1207,0.670373527,10.25875125,Forest,Madrid,1,2yr+
2A211150,27.04.14,GT_AMAR_1208,0.578729163,10.51640929,Forest,Madrid,1,2yr+
2A211150,27.04.14,GT_AMAR_1209,0.56606414,10.01413889,Forest,Madrid,1,2yr+
2A211150,27.04.14,GT_AMAR_1210,0.628832658,11.1353426,Forest,Madrid,1,2yr+
2A211150,27.04.14,GT_AMAR_1211,0.561513421,10.94044015,Forest,Madrid,1,2yr+
2A211150,27.04.14,GT_AMAR_1212,0.59538941,11.06283032,Forest,Madrid,1,2yr+
2A211152,10.05.14,GT_AMAR_1213,0.769052191,13.13513068,Forest,Madrid,2,1yr
2A211152,10.05.14,GT_AMAR_1214,0.656430506,11.77530992,Forest,Madrid,2,1yr
2A211152,10.05.14,GT_AMAR_1215,0.626924971,12.61638295,Forest,Madrid,2,1yr
2A211152,10.05.14,GT_AMAR_1216,0.862520738,11.87584072,Forest,Madrid,2,1yr
2A211152,10.05.14,GT_AMAR_1217,0.698115734,13.48273718,Forest,Madrid,2,1yr
2A211152,10.05.14,GT_AMAR_1218,0.740529709,12.54185826,Forest,Madrid,2,1yr
2A211155,10.05.14,GT_AMAR_1153,0.65169263,11.81382261,Forest,Madrid,2,1yr
2A211155,10.05.14,GT_AMAR_1154,0.759154966,11.68528805,Forest,Madrid,2,1yr
2A211155,10.05.14,GT_AMAR_1155,0.642971974,11.30135161,Forest,Madrid,2,1yr
2A211155,10.05.14,GT_AMAR_1156,0.699751112,12.44402579,Forest,Madrid,2,1yr
2A211155,10.05.14,GT_AMAR_1157,0.646427153,12.88537429,Forest,Madrid,2,1yr
