,Reference,area,disturbance,sqrt_inv_eff_ss,sample_size,type,obsID,plumage_trait,life_stage,COR_std,COR_std_sv
58,Geens et al 2009,Antwerp,pollution,0.166762535,145,means,59,chroma,nestlings,-0.228415811,0.006116192
59,Grunst et al 2020a,Antwerp,pollution,0.091783985,497,means,60,chroma,nestlings,-0.029945841,0.002015673
60,Eeva et al 2008,Turku,pollution,0.273364703,55,means,61,chroma,nestlings,-0.237398226,0.016310485
61,Eeva et al 2009,Turku,pollution,0.2444674,71,means,62,chroma,nestlings,-0.56252041,0.005670402
62,Eeva et al 2014,Turku,pollution,0.378932373,28,means,63,chroma,nestlings,-0.220486516,0.03390623
63,Eeva et al 2014,Turku,pollution,0.371611676,29,means,64,chroma,nestlings,-0.181567287,0.034025034
64,Koivula et al 2011,Turku,pollution,0.271627118,56,means,65,chroma,nestlings,-0.07099869,0.018284437
65,Biard et al 2017,Paris,urbanisation,0.177402455,142,means,66,chroma,nestlings,-0.454171802,0.004029377
66,Biard et al 2017,Niort,urbanisation,0.135508427,218,means,67,chroma,nestlings,-0.489149002,0.00235577
67,Hõrak et al 2000,Tartu,urbanisation,0.250702577,67,means,68,chroma,nestlings,-0.24013592,0.013255804
68,Hõrak et al 2000,Tartu,urbanisation,0.207035401,94,means,69,chroma,nestlings,-0.257461296,0.00915556
69,Isaksson et al 2005,Goteborg,urbanisation,0.203749949,102,means,70,chroma,nestlings,-0.516526838,0.004644627
70,Isaksson et al 2006,Goteborg,urbanisation,0.118571669,337,means,71,chroma,nestlings,0.051962128,0.002964945
71,Isaksson et al 2007,Goteborg,urbanisation,0.124049416,260,means,72,chroma,nestlings,-0.012243107,0.003874514
72,Isaksson et al 2006,Goteborg,urbanisation,0.274515667,63,means,73,chroma,nestlings,0.085465231,0.016093959
73,This study,Malmö,urbanisation,0.235881843,73,means,74,chroma,nestlings,0.208589782,0.012597542
74,Geens et al 2009,Antwerp,pollution,0.166762535,145,means,75,hue,nestlings,-0.173301164,0.006479107
75,Grunst et al 2020a,Antwerp,pollution,0.091783985,497,means,76,hue,nestlings,-0.050349434,0.002007414
76,Isaksson et al 2007,Goteborg,urbanisation,0.124049416,260,means,77,hue,nestlings,-0.104454668,0.003771006
77,Grunst et al 2020a,Antwerp,pollution,0.091783985,497,means,78,UVchroma,nestlings,0.057870081,0.00200332
78,Isaksson et al 2006,Goteborg,urbanisation,0.118571669,337,means,79,UVchroma,nestlings,0.00863163,0.002984518
79,Isaksson et al 2006,Goteborg,urbanisation,0.274515667,63,means,80,UVchroma,nestlings,0.204644407,0.014723975
80,Isaksson et al 2006,Goteborg,urbanisation,0.118571669,337,means,81,NA,nestlings,-0.076609922,0.002941429
81,Isaksson et al 2006,Goteborg,urbanisation,0.118571669,337,means,82,NA,nestlings,0.043004583,0.002971277
82,Isaksson et al 2007,Goteborg,urbanisation,0.124049416,260,means,83,NA,nestlings,-0.012243107,0.003874514
83,Isaksson et al 2006,Goteborg,urbanisation,0.274515667,63,means,84,NA,nestlings,-0.056344644,0.016262841
84,Isaksson et al 2006,Goteborg,urbanisation,0.274515667,63,means,85,NA,nestlings,0.131205205,0.015693266
85,Giraudeau et al 2015,Barcelona,pollution,0.176776695,32,cors,86,Other,adults,-0.404,0.022587338
86,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,87,Brightness,adults,-0.09024,0.001532367
87,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,88,Brightness,adults,-0.03868,0.002051461
88,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,89,Brightness,adults,0.04541,0.002049136
89,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,90,Brightness,adults,0.0005199,0.002057612
90,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,91,Brightness,adults,-0.004682,0.002057523
91,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,92,Brightness,adults,0.05083,0.002046994
92,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,93,Brightness,adults,0.015998,0.003674589
93,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,94,Brightness,adults,-0.04994,0.003658155
94,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,95,Brightness,adults,-0.01468,0.001556961
95,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,96,chroma,adults,0.12765,0.001507284
96,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,97,chroma,adults,-0.001005,0.002057609
97,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,98,chroma,adults,-0.05758,0.002043992
98,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,99,chroma,adults,0.02687,0.002054643
99,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,100,chroma,adults,0.04395,0.002049672
100,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,101,chroma,adults,0.05029,0.002047219
101,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,102,chroma,adults,-0.08285,0.003626172
102,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,103,chroma,adults,-0.09625,0.003608668
103,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,104,chroma,adults,0.06405,0.001544879
104,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,105,hue,adults,-0.12451,0.001509712
105,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,106,hue,adults,-0.02216,0.002055593
106,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,107,hue,adults,-0.008303,0.002057329
107,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,108,hue,adults,-0.03018,0.002053867
108,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,109,hue,adults,-0.03962,0.002051158
109,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,110,hue,adults,-0.03618,0.00205223
110,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,111,hue,adults,0.07674,0.003633296
111,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,112,hue,adults,0.13211,0.003549259
112,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,113,hue,adults,-0.09771,0.001528032
113,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,114,UVchroma,adults,0.07865,0.001538422
114,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,115,UVchroma,adults,0.03115,0.002053622
115,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,116,UVchroma,adults,0.02568,0.0020549
116,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,117,UVchroma,adults,0.05251,0.002046282
117,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,118,UVchroma,adults,0.006467,0.002057441
118,Grunst et al 2020b,Antwerp,pollution,0.045314325,487,cors,119,UVchroma,adults,0.03422,0.002052797
119,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,120,UVchroma,adults,-0.08693,0.003621116
120,Grunst et al 2020b,Antwerp,pollution,0.060522753,273,cors,121,UVchroma,adults,-0.10577,0.003594671
121,Grunst et al 2020b,Antwerp,pollution,0.03943615,643,cors,122,UVchroma,adults,0.13549,0.001500969
122,Ruiz et al 2016,Turku,pollution,0.145864991,47,cors,125,carotenoid,nestlings,-0.144,0.020846913
123,Ruiz et al 2016,Turku,pollution,0.204124145,24,cors,126,carotenoid,nestlings,0.06,0.043165781
124,Eeva et al 1998,Turku,pollution,0.055215763,328,cors,127,Other,nestlings,-0.656,0.000992407
125,Eeva et al 2014,Turku,pollution,0.106600358,88,cors,128,chroma,nestlings,-0.539,0.005785752
126,Eeva et al 2008,Turku,pollution,0.133630621,56,cors,129,chroma,nestlings,0.027,0.018155319
127,Eeva et al 2009,Turku,pollution,0.054635836,335,cors,130,chroma,nestlings,-0.056,0.002975263
128,Koivula et al 2011,Turku,pollution,0.131306433,58,cors,131,chroma,nestlings,-0.07,0.017372351
